run_id,timestamp,epoch,global_step,split,pest,coco_mAP_0.5_0.95,coco_mAP_0.5,coco_mAP_0.75,coco_AP_small,coco_AR_max1,coco_AR_max10,coco_AR_max100,coco_AR_small,detection_rate,false_positive_rate,precision,recall,f1,tp,fp,fn,fp_frames,tn_frames,detection_rate_pass,fpr_pass,fp_threshold,fp_num_examples,fp_positive_examples,fp_negative_examples,fp_precision,fp_recall,fp_f1,fp_auroc,fp_aupr,eval_threshold,postprocess_threshold,learning_rate,batch_size,weight_decay,freeze_backbone,partial_freeze,freeze_strategy,augment,foe,epochs_requested,model_base,backbone,activation_function,activation_dropout,attention_dropout,dropout,num_queries,d_model,encoder_layers,decoder_layers,encoder_attention_heads,decoder_attention_heads,auxiliary_loss,device_type,torch_version
run_d6ec9003,20260407_044650,1,4479,train,all,0.4826,0.659,0.6432,0.4729,0.4287,0.5088,0.5088,0.487,0.469,0.0135,0.944,0.469,0.6266,219,13,248,1.0,73.0,False,True,0.5,300,226,74,0.9933,0.6549,0.7893,0.8204,0.9149,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,train,mouse,,,,,,,,,,,0.9796,0.9931,0.9863,144,3,1,,,,,0.5,300,115,185,1.0,1.0,1.0,1.0,1.0,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,train,rat,,,,,,,,,,,0.8824,0.9868,0.9317,75,10,1,,,,,0.5,300,67,233,0.9041,0.9851,0.9429,0.9914,0.9855,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,train,cockroach,,,,,,,,,,,0.0,0.0,0.0,0,0,246,,,,,0.5,300,164,136,0.0,0.0,0.0,0.5,0.5467,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,val,all,0.464,0.65,0.6151,0.4161,0.4138,0.493,0.493,0.4226,0.4902,0.0,0.9869,0.4902,0.6551,226,3,235,0.0,66.0,False,True,0.5,300,234,66,1.0,0.6838,0.8122,0.8419,0.9304,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,val,mouse,,,,,,,,,,,0.9767,0.9692,0.973,126,3,4,,,,,0.5,300,109,191,1.0,0.9908,0.9954,1.0,0.9999,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,val,rat,,,,,,,,,,,1.0,0.9709,0.9852,100,0,3,,,,,0.5,300,84,216,1.0,0.9881,0.994,0.994,0.9914,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,val,cockroach,,,,,,,,,,,0.0,0.0,0.0,0,0,228,,,,,0.5,300,156,144,0.0,0.0,0.0,0.5,0.52,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,test,all,0.4383,0.6429,0.5626,0.4492,0.3767,0.4795,0.4795,0.4525,0.4856,0.0,0.9731,0.4856,0.6479,253,7,268,0.0,59.0,False,True,0.5,300,241,59,1.0,0.6722,0.804,0.8361,0.9355,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
run_d6ec9003,20260407_044650,1,4479,test,mouse,,,,,,,,,,,0.9653,0.972,0.9686,139,5,4,,,,,0.5,300,106,194,1.0,1.0,1.0,1.0,1.0,0.5,,5e-05,16,0.0001,False,2,partial_2stages,False,1.0,15,facebook/detr-resnet-50,resnet50,relu,0.0,0.0,0.1,100,256,6,6,8,8,False,cuda,2.6.0+cu126
